City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Morant Bay,JM,78.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
654,Puerto Carreno,CO,78.93,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
656,Bima,ID,89.96,clear sky,-8.4667,118.7167,Lambitu Hotel
659,Lakatoro,VU,80.65,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
670,Lethem,GY,78.4,broken clouds,3.3803,-59.7968,Savannah Inn
671,Atar,MR,87.93,overcast clouds,20.5169,-13.0499,Oumou Elghoura
672,Nata,PA,77.02,overcast clouds,8.3333,-80.5167,Rey David
675,Pascagoula,US,77.05,clear sky,30.3658,-88.5561,Regency Inn
677,Bogo,PH,85.71,moderate rain,11.0517,124.0055,Acrige Apartelle
679,Ormara,PK,85.23,clear sky,25.2088,64.6357,Kenara Colony house for Rent
683,Pekan,MY,86.88,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
686,Santo Domingo,DO,80.04,scattered clouds,18.5001,-69.9886,Cabañas City Heart
688,Conakry,GN,80.8,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
689,Ixtapa,MX,78.22,few clouds,20.7,-105.2,hotel la terminal
693,Matara,LK,80.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
694,Alappuzha,IN,77.25,overcast clouds,9.49,76.3264,Panoramic Sea Resort
696,Bandiagara,ML,83.62,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
702,Dwarka,IN,84.31,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
