City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Ilulissat,GL,69.2167,-51.1,5.32,87,20,7.78,few clouds
162,San Carlos,VE,9.6612,-68.5827,78.78,70,100,2.84,overcast clouds
163,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,19.57,few clouds
164,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,99,6.08,overcast clouds
165,Sisimiut,GL,66.9395,-53.6735,24.15,73,12,8.61,few clouds
166,Lodja,CD,-3.4833,23.4333,69.8,80,53,0.85,broken clouds
167,Beringovskiy,RU,63.05,179.3167,43.54,76,100,9.24,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,63.25,94,100,2.98,moderate rain
169,Saint George,US,37.1041,-113.5841,91.99,6,0,9.22,clear sky
170,Amiens,FR,49.9,2.3,53.04,90,78,6.08,broken clouds
171,Bengkulu,ID,-3.8004,102.2655,84.83,71,18,2.66,few clouds
172,Yerbogachen,RU,61.2767,108.0108,63.59,35,60,4.21,broken clouds
173,Creel,MX,27.75,-107.6333,56.16,15,99,3.78,overcast clouds
174,Itaituba,BR,-4.2761,-55.9836,74.37,99,98,1.12,heavy intensity rain
175,Sao Filipe,CV,14.8961,-24.4956,75.99,68,71,7.54,broken clouds
176,Valparaiso,CL,-33.0393,-71.6273,54.48,82,0,2.3,clear sky
177,Yenagoa,NG,4.9247,6.2642,75.92,95,67,3.11,broken clouds
178,Luderitz,NA,-26.6481,15.1594,62.4,38,21,8.41,few clouds
179,Georgetown,MY,5.4112,100.3354,87.73,82,20,2.3,light rain
180,Launceston,AU,-41.45,147.1667,62.62,87,75,20.71,broken clouds
181,Krasnyy Chikoy,RU,50.3643,108.7512,67.14,20,29,8.84,scattered clouds
182,Fairbanks,US,64.8378,-147.7164,48.54,72,75,17.27,moderate rain
183,San Vicente,AR,-26.6167,-54.1333,58.08,100,99,1.28,overcast clouds
184,Qaanaaq,GL,77.484,-69.3632,14.27,67,48,6.71,scattered clouds
185,Innisfail,AU,-17.5333,146.0333,80.04,63,3,6.02,clear sky
186,Yazd,IR,31.8972,54.3675,59.11,33,0,0.0,clear sky
187,Sompeta,IN,18.9333,84.6,88.61,70,74,12.97,broken clouds
188,Olafsvik,IS,64.8945,-23.7142,42.33,91,100,19.51,overcast clouds
189,Abu Samrah,SY,35.3029,37.1841,74.41,34,97,15.43,overcast clouds
190,Ngozi,BI,-2.9075,29.8306,54.21,94,96,1.63,overcast clouds
191,Sur,OM,22.5667,59.5289,85.01,58,0,8.75,clear sky
192,Oxford,GB,51.7522,-1.256,57.18,85,100,7.34,light rain
193,Lao Cai,VN,22.4833,103.95,74.66,98,98,2.19,overcast clouds
194,Xinpu,CN,34.5997,119.1594,73.96,23,0,5.48,clear sky
195,Panguipulli,CL,-39.6333,-72.3333,40.28,81,0,4.03,clear sky
196,Biak,ID,-0.9131,122.8766,82.94,72,100,2.1,overcast clouds
197,Bredasdorp,ZA,-34.5322,20.0403,51.21,89,0,2.89,clear sky
198,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,26,9.4,light rain
199,Touros,BR,-5.1989,-35.4608,77.07,90,55,9.78,broken clouds
200,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,46,16.89,scattered clouds
201,Tasiilaq,GL,65.6145,-37.6368,24.3,73,100,4.0,overcast clouds
202,Palm Coast,US,29.585,-81.2078,77.0,87,0,8.01,clear sky
203,Puerto Escondido,MX,15.85,-97.0667,83.52,78,64,6.8,broken clouds
204,Shu,KZ,43.5983,73.7614,61.36,80,100,7.47,overcast clouds
205,Shirdi,IN,19.7667,74.4833,83.91,54,3,15.75,clear sky
206,Kalmunai,LK,7.4167,81.8167,81.28,75,100,0.94,overcast clouds
207,Cradock,ZA,-32.1642,25.6192,45.66,92,2,1.28,clear sky
208,Tautira,PF,-17.7333,-149.15,80.58,72,14,10.89,few clouds
209,Grand-Santi,GF,4.25,-54.3833,73.67,99,100,2.35,overcast clouds
210,Brae,GB,60.3964,-1.353,49.44,84,99,5.68,overcast clouds
211,Pangnirtung,CA,66.1451,-65.7125,9.52,90,21,7.2,few clouds
212,Oranjestad,AW,12.524,-70.027,80.55,78,20,20.71,few clouds
213,Balsas,BR,-7.5325,-46.0356,79.09,60,100,2.98,overcast clouds
214,Hirara,JP,24.8,125.2833,79.07,83,75,23.02,broken clouds
215,Ostersund,SE,63.1792,14.6357,37.85,93,100,16.11,overcast clouds
216,Floro,NO,61.5996,5.0328,45.97,100,100,4.61,overcast clouds
217,Cayenne,GF,4.9333,-52.3333,82.09,1,75,3.0,broken clouds
218,Rio Grande,BR,-32.035,-52.0986,58.95,93,73,6.96,broken clouds
219,Camabatela,AO,-8.1881,15.375,61.54,92,10,1.21,clear sky
220,Pacifica,US,37.6138,-122.4869,71.53,85,20,21.85,mist
221,Inverness,GB,57.4791,-4.224,44.83,93,97,0.0,overcast clouds
222,Uhlove,UA,44.8215,33.6045,56.41,71,6,1.63,clear sky
223,Codrington,AU,-38.2667,141.9667,66.97,53,8,21.92,clear sky
224,Khatanga,RU,71.9667,102.5,33.96,100,100,11.77,overcast clouds
225,Sorland,NO,67.667,12.6934,42.66,86,84,25.59,broken clouds
226,Sinnamary,GF,5.3833,-52.95,78.17,90,100,8.93,overcast clouds
227,Panaba,MX,21.2833,-88.2667,71.2,84,0,6.53,clear sky
228,Necochea,AR,-38.5473,-58.7368,46.4,81,6,12.24,clear sky
229,Muhos,FI,64.808,25.9931,40.78,92,100,8.08,light rain
230,Kirakira,SB,-10.4544,161.9205,82.71,77,82,2.28,broken clouds
231,Harper,LR,4.375,-7.7169,77.61,87,93,2.06,overcast clouds
232,Victoria,HK,22.2855,114.1577,73.45,91,99,3.0,light rain
233,Pisco,PE,-13.7,-76.2167,64.45,82,75,4.61,mist
234,Vilyuysk,RU,63.7553,121.6247,39.42,46,25,5.23,scattered clouds
235,Arona,ES,28.0996,-16.681,65.82,76,75,3.44,broken clouds
236,Kodiak,US,57.79,-152.4072,45.59,56,35,14.61,scattered clouds
237,Myitkyina,MM,25.3833,97.4,73.42,99,100,1.14,overcast clouds
238,Punto Fijo,VE,11.6956,-70.1996,80.2,83,100,26.44,overcast clouds
239,Marienburg,PL,54.0359,19.0266,47.12,89,39,8.75,scattered clouds
240,Kerman,IR,30.2832,57.0788,51.66,43,0,4.61,clear sky
241,Lyuban,BY,52.7985,28.0048,46.13,91,100,11.56,overcast clouds
242,Kirkwall,GB,58.9848,-2.9587,46.45,93,20,5.75,few clouds
243,Taltal,CL,-25.4,-70.4833,59.92,79,7,4.47,clear sky
244,Mercedes,AR,-34.6515,-59.4307,48.85,38,100,7.14,light rain
245,Samarai,PG,-10.6167,150.6667,84.18,70,7,1.7,clear sky
246,Benoy,TD,8.9833,16.3199,82.9,53,61,8.46,broken clouds
247,Chunskiy,RU,56.0815,99.6342,71.8,24,46,1.92,scattered clouds
248,Manggar,ID,-2.8833,108.2667,87.57,66,87,8.16,overcast clouds
249,Pathein,MM,16.7833,94.7333,90.48,57,7,6.15,clear sky
250,Praya,CV,14.9215,-23.5087,81.14,44,0,27.63,clear sky
251,Kaeo,NZ,-35.1,173.7833,69.33,75,71,10.51,broken clouds
252,Ouallam,NE,14.3188,2.0866,93.38,29,100,13.87,overcast clouds
253,Yantal,RU,56.8471,105.2542,70.7,23,34,2.46,scattered clouds
254,Quang Ngai,VN,15.1167,108.8,89.64,64,42,3.76,scattered clouds
255,Newark,US,40.7357,-74.1724,65.84,94,100,4.0,mist
256,Mount Isa,AU,-20.7333,139.5,78.57,34,0,9.22,clear sky
257,Calderitas,MX,18.55,-88.25,79.9,70,5,10.98,clear sky
258,Vao,NC,-22.6667,167.4833,73.71,70,33,15.32,scattered clouds
259,Port Lincoln,AU,-34.7333,135.8667,65.75,59,24,26.02,few clouds
260,Concordia,AR,-31.393,-58.0209,57.78,86,19,3.0,few clouds
261,De-Kastri,RU,51.4667,140.7833,36.27,97,100,20.78,heavy intensity rain
262,Coyah,GN,9.75,-13.4167,78.44,85,100,2.57,overcast clouds
263,Grand-Lahou,CI,5.1367,-5.0242,77.23,90,73,5.77,broken clouds
264,Marquette,US,46.5333,-87.6335,63.84,92,85,5.14,overcast clouds
265,Sampit,ID,-2.5333,112.95,87.85,64,100,2.35,overcast clouds
266,Murud,IN,18.3258,72.965,84.87,66,79,5.39,broken clouds
267,Saint-Francois,FR,46.4154,3.9054,49.68,93,0,0.0,clear sky
268,Aldan,RU,58.6031,125.3894,32.4,74,99,6.2,light snow
269,Saldanha,ZA,-33.0117,17.9442,50.05,81,0,8.52,clear sky
270,Artyom,AZ,40.4723,50.333,64.54,84,78,15.82,broken clouds
271,Bafang,CM,5.1563,10.1788,63.52,97,91,1.81,overcast clouds
272,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,40,23.02,scattered clouds
273,Inhambane,MZ,-23.865,35.3833,68.77,78,0,7.05,clear sky
274,Pilot Butte,CA,50.4668,-104.4178,53.33,49,75,9.22,broken clouds
275,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,4.61,broken clouds
276,Saint-Augustin,CA,51.226,-58.6502,43.47,78,91,8.93,overcast clouds
277,Upernavik,GL,72.7868,-56.1549,6.71,92,13,4.23,few clouds
278,Alofi,NU,-19.0595,-169.9187,78.69,57,79,10.36,broken clouds
279,Dingle,PH,10.9995,122.6711,88.12,61,38,5.35,scattered clouds
280,Klaeng,TH,12.7797,101.6483,93.94,100,53,8.16,broken clouds
281,Klaksvik,FO,62.2266,-6.589,49.12,91,97,7.74,overcast clouds
282,Rafai,CF,4.95,23.9167,68.14,98,100,2.24,overcast clouds
283,Kirovskiy,RU,45.0917,133.5136,60.39,38,40,16.02,scattered clouds
284,Campbell River,CA,50.0163,-125.2446,51.33,93,100,8.05,overcast clouds
285,Waingapu,ID,-9.6567,120.2641,85.28,64,7,7.16,clear sky
286,Novikovo,RU,51.1537,37.8879,46.67,90,34,8.93,scattered clouds
287,Hovd,MN,48.0056,91.6419,62.49,12,0,4.34,clear sky
288,Katobu,ID,-4.9408,122.5276,87.82,59,100,2.95,overcast clouds
289,Lakselv,NO,70.0513,24.9718,31.82,93,100,0.0,overcast clouds
290,Kavaratti,IN,10.5669,72.642,80.64,82,100,17.31,heavy intensity rain
291,Cabo San Lucas,MX,22.8909,-109.9124,83.61,55,100,10.04,overcast clouds
292,Vigrestad,NO,58.5667,5.7,47.97,92,63,8.28,broken clouds
293,Beloha,MG,-25.1667,45.05,63.21,95,4,5.61,clear sky
294,Axim,GH,4.8699,-2.2405,79.25,86,100,4.12,overcast clouds
295,Minnedosa,CA,50.2453,-99.8436,45.16,88,100,11.65,overcast clouds
296,Girau Do Ponciano,BR,-9.8842,-36.8289,70.18,94,23,2.04,few clouds
297,East Foothills,US,37.3811,-121.8175,72.59,51,0,7.0,clear sky
298,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,3.44,broken clouds
299,Flinders,AU,-34.5833,150.8552,72.18,86,96,7.0,light rain
300,Paoua,CF,7.2427,16.4406,70.95,82,99,3.47,light rain
301,Hue,VN,16.4667,107.6,91.51,66,40,3.44,scattered clouds
302,Komsomolskiy,UZ,40.4272,71.7189,57.92,88,40,6.91,light rain
303,Vung Tau,VN,10.346,107.0843,86.67,73,98,8.88,overcast clouds
304,Peniche,PT,39.3558,-9.3811,64.08,89,100,13.13,overcast clouds
305,Sibolga,ID,1.7427,98.7792,86.0,64,79,3.24,broken clouds
306,Kosh-Agach,RU,50.0,88.6667,56.41,25,68,2.35,broken clouds
307,Kalemie,CD,-5.9475,29.1947,69.39,82,24,2.04,few clouds
308,Gigmoto,PH,13.7796,124.39,87.01,66,95,9.35,overcast clouds
309,Poum,NC,-20.2333,164.0167,77.59,73,84,12.5,broken clouds
310,Luanda,AO,-8.8368,13.2343,75.2,88,40,2.3,scattered clouds
311,Enshi,CN,30.3,109.4833,59.49,79,100,0.67,overcast clouds
312,Ust-Kan,RU,50.9276,84.761,64.4,34,100,6.62,overcast clouds
313,Mocuba,MZ,-16.8392,36.9856,62.73,98,14,3.24,few clouds
314,Maryville,US,35.7565,-83.9705,68.14,93,95,1.81,overcast clouds
315,Talnakh,RU,69.4865,88.3972,36.45,100,100,6.69,overcast clouds
316,Goias,BR,-15.5807,-49.6362,70.43,52,76,2.68,broken clouds
317,Mehamn,NO,71.0357,27.8492,37.31,90,100,6.38,overcast clouds
318,Kindu,CD,-2.95,25.95,68.77,96,71,1.83,broken clouds
319,Rumphi,MW,-11.0186,33.8575,56.28,93,0,2.98,clear sky
320,Kashan,IR,33.9831,51.4364,58.59,33,0,0.0,clear sky
321,Coihaique,CL,-45.5752,-72.0662,33.75,93,0,0.0,clear sky
322,Kushima,JP,31.4583,131.2333,67.32,70,100,1.66,light rain
323,Bagan,RU,54.1001,77.6646,65.93,48,99,8.79,overcast clouds
324,Yumen,CN,40.2833,97.2,63.43,12,0,14.61,clear sky
325,Tigil,RU,57.8,158.6667,57.92,52,57,21.45,broken clouds
326,Kongolo,CD,-5.3833,27.0,68.58,79,64,3.56,broken clouds
327,Esperance,AU,-33.8667,121.9,57.04,76,100,13.38,overcast clouds
328,Hithadhoo,MV,-0.6,73.0833,82.51,69,71,6.42,broken clouds
329,Linguere,SN,15.3953,-15.1193,84.04,20,2,8.28,clear sky
330,Kirriemuir,GB,56.674,-3.0034,47.12,87,100,3.36,overcast clouds
331,Svetlaya,RU,46.5389,138.3297,55.06,48,96,12.93,overcast clouds
332,Pundaguitan,PH,6.3711,126.1689,80.8,81,100,11.25,light rain
333,Shakhtinsk,KZ,49.71,72.5872,61.07,59,38,13.22,scattered clouds
334,Yulara,AU,-25.2406,130.9889,74.39,45,3,8.19,clear sky
335,Kedougou,SN,12.5579,-12.1743,85.21,20,32,5.37,scattered clouds
336,Khorinsk,RU,52.1657,109.7726,66.56,21,30,5.68,scattered clouds
337,Poltava,UA,49.5937,34.5407,45.68,93,14,7.4,few clouds
338,Lons,FR,43.3167,-0.4,59.22,100,90,0.0,fog
339,Vostok,RU,46.4856,135.8833,48.15,60,81,13.94,broken clouds
340,Makakilo City,US,21.3469,-158.0858,80.56,54,1,15.14,clear sky
341,Mapiripan,CO,2.8892,-72.1256,73.45,97,89,1.92,overcast clouds
342,Goldsboro,US,35.3849,-77.9928,68.18,94,20,0.0,few clouds
343,Mayumba,GA,-3.432,10.6554,76.68,93,100,4.52,overcast clouds
344,Xunchang,CN,28.4543,104.715,55.31,95,100,7.56,overcast clouds
345,Costa Rica,BR,-23.4167,-54.65,62.78,98,100,8.39,overcast clouds
346,Urdoma,RU,61.7533,48.5442,46.63,85,100,2.46,overcast clouds
347,Requena,ES,39.4883,-1.1004,52.52,63,7,2.01,clear sky
348,Souillac,MU,-20.5167,57.5167,73.78,83,40,8.05,scattered clouds
